_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude,neighborhood
3186522,0231P00069000000,"8321 VIDETTE ST, PITTSBURGH, PA 15221",8321, ,,VIDETTE,ST,,,PITTSBURGH,PA,15221,47,Pittsburgh,113,13th Ward - PITTSBURGH,3/28/2024,3/7/2024,1,19618,89,3,LOVE AND AFFECTION SALE,DE,DEED,40.454744,-79.878028,East Hills
3186520,0045A00210000000,"3006 SHADELAND AVE, PITTSBURGH, PA 15212",3006, ,,SHADELAND,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,3/26/2024,3/15/2024,105000,19616,508,H,MULTI-PARCEL SALE,DE,DEED,40.47185,-80.03076,Marshall-Shadeland
3186524,0022L00295000000,"1111 LIVERPOOL ST, PITTSBURGH, PA 15233",1111, ,,LIVERPOOL,ST,,,PITTSBURGH,PA,15233,47,Pittsburgh,121,21st Ward - PITTSBURGH,3/28/2024,3/12/2024,487900,19618,156,H,MULTI-PARCEL SALE,DE,DEED,40.455619,-80.022057,Manchester
3186527,0004F00203000000,"7-9 NATCHEZ ST, PITTSBURGH, PA 15211",7,-9,,NATCHEZ,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,3/29/2024,3/18/2024,161250,19620,556,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,40.42878,-80.00889,Mount Washington
3186526,0012L00066000000,"2211 JANE ST, PITTSBURGH, PA 15203",2211, ,,JANE,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,3/28/2024,3/15/2024,1,19619,160,3,LOVE AND AFFECTION SALE,DE,DEED,40.426756,-79.974208,South Side Flats
3186532,0081L00094000000,"935 MILLERDALE ST, PITTSBURGH, PA 15201",935, ,,MILLERDALE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,4/5/2024,4/4/2024,101634,19628,589,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,40.47645,-79.93833,Stanton Heights
3186534,0028G00146000000,"349 MEYRAN AVE, PITTSBURGH, PA 15213",349, ,,MEYRAN,AVE,,,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,4/11/2024,3/22/2024,1,19635,530,3,LOVE AND AFFECTION SALE,DE,DEED,40.438281,-79.955132,Central Oakland
3186536,0014G00287000000,"0 INDUSTRY ST, PITTSBURGH, PA 15210",0, ,,INDUSTRY,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,4/22/2024,4/8/2024,200,19644,499,GV,GOVERNMENT SALE,TS,TREASURER DEED,40.420722,-79.998894,Beltzhoover
3186529,0022S00144000000,"936 W NORTH AVE, PITTSBURGH, PA 15233",936, ,W,NORTH,AVE,,,PITTSBURGH,PA,15233,47,Pittsburgh,122,22nd Ward - PITTSBURGH,4/4/2024,4/1/2024,625000,19627,276,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.453452,-80.018504,Central Northside
3186542,0084M00339000000,"6457 DANIELLE ST, PITTSBURGH, PA 15206",6457, ,,DANIELLE,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,107,7th Ward - PITTSBURGH,4/30/2024,4/20/2024,1185000,19653,490,0,VALID SALE,DE,DEED,40.455655,-79.91845,Shadyside
3186546,0139R00007000000,"2900 HOMEHURST AVE, PITTSBURGH, PA 15234",2900, ,,HOMEHURST,AVE,,,PITTSBURGH,PA,15234,47,Pittsburgh,132,32nd Ward - PITTSBURGH,3/4/2024,2/9/2024,1,19590,102,3,LOVE AND AFFECTION SALE,DE,DEED,40.37523,-80.00388,Overbrook
3186549,0052E00033009200,"552 N NEVILLE ST, UNIT 92, PITTSBURGH, PA 15213",552, ,N,NEVILLE,ST,UNIT,92,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,10/7/2024,10/2/2024,270000,19825,206,0,VALID SALE,DE,DEED,40.448534,-79.94854,North Oakland
3186561,0024K00341000000,"0 RICKENBACH ST, PITTSBURGH, PA 15212",0, ,,RICKENBACH,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,123,23rd Ward - PITTSBURGH,5/3/2024,5/1/2024,225000,19657,279,H,MULTI-PARCEL SALE,DE,DEED,40.457184,-79.993378,East Allegheny
3186563,0088D00173000000,"6605 ROSEMOOR ST, PITTSBURGH, PA 15217",6605, ,,ROSEMOOR,ST,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,10/21/2024,8/19/2024,1,19837,206,3,LOVE AND AFFECTION SALE,DE,DEED,40.422546,-79.920023,Squirrel Hill South
3186560,0004L00195000000,"451 NEFF ST, PITTSBURGH, PA 15211",451, ,,NEFF,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,10/21/2024,10/1/2024,377000,19836,565,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.42768,-80.00505,Mount Washington
3186565,0020L00045000000,"1222 LAKEWOOD ST, PITTSBURGH, PA 15220",1222, ,,LAKEWOOD,ST,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,10/21/2024,10/11/2024,70000,19837,539,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.447515,-80.040909,Elliott
3186568,0174L00219000000,"7708 FOREST WAY, PITTSBURGH, PA 15208",7708, ,,FOREST,WAY,,,PITTSBURGH,PA,15208,47,Pittsburgh,113,13th Ward - PITTSBURGH,10/22/2024,9/30/2024,1,19839,564,H,MULTI-PARCEL SALE,DE,DEED,40.455825,-79.887542,Homewood North
