_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185166,0173J00376000100,"7131 VASSAR ST, PITTSBURGH, PA 15206",7131, ,,VASSAR,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-10-18,2024-10-14,26500.0,19836,175.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.467322,-79.895726,Lincoln-Lemington-Belmar
3185172,0096K00124000000,"1509 WAREMAN AVE, PITTSBURGH, PA 15226",1509, ,,WAREMAN,AVE,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-10-30,2024-09-25,302500.0,19847,312.0,0,VALID SALE,DE,DEED,40.38921,-80.01057,Brookline
3185169,0059N00095000000,"201 HORNADAY RD, PITTSBURGH, PA 15210",201, ,,HORNADAY,RD,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-10-23,2024-09-17,1.0,19841,48.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.395263,-79.982785,Carrick
3185175,0041R00017000000,"1212 HOLLYWOOD ST, PITTSBURGH, PA 15205",1212, ,,HOLLYWOOD,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-10-31,2024-10-28,138000.0,19848,550.0,0,VALID SALE,DE,DEED,40.44334,-80.05532,Crafton Heights
3185184,0119S00098000A00,"5417 DRESDEN WAY, PITTSBURGH, PA 15201",5417, ,,DRESDEN,WAY,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-01-10,2024-01-03,1.0,19546,512.0,H,MULTI-PARCEL SALE,DE,DEED,40.48297,-79.95034,Upper Lawrenceville
3185192,0029S00104000000,"19 FORRESTER ST, PITTSBURGH, PA 15207",19, ,,FORRESTER,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-12-27,2024-12-12,1.0,19908,287.0,H,MULTI-PARCEL SALE,DE,DEED,40.42415,-79.94974,Hazelwood
3185188,0001C01662A00500,"320 FORT DUQUESNE BLVD, UNIT 5A, PITTSBURGH, PA 15222",320, ,,FORT DUQUESNE,BLVD,UNIT,5A,PITTSBURGH,PA,15222,47,Pittsburgh,102,2nd Ward - PITTSBURGH,2024-01-24,2024-01-08,1.0,19557,405.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.44261,-80.006874,Central Business District
3185196,0119S00069000B00,"5415 CARNEGIE ST, PITTSBURGH, PA 15201",5415, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2025-01-02,2024-12-27,323500.0,19913,286.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.482666,-79.950151,Upper Lawrenceville
3185200,0056L00369000000,"0 ELECTRIC ST, PITTSBURGH, PA 15207",0, ,,ELECTRIC,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2025-01-07,2024-12-31,1.0,19916,61.0,H,MULTI-PARCEL SALE,DE,DEED,40.408507,-79.937729,Hazelwood
3185201,0024N00165000000,"820 E OHIO ST, PITTSBURGH, PA 15212",820, ,E,OHIO,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,123,23rd Ward - PITTSBURGH,2025-01-07,2024-12-13,8775000.0,19916,188.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.454681,-79.996122,East Allegheny
3185210,0184P00126000000,"5713 KEEFE ST, PITTSBURGH, PA 15207",5713, ,,KEEFE,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-09-16,2024-08-23,1.0,19803,42.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.366199,-79.91026,Lincoln Place
3185206,0079G00297000000,"226 MARYLAND AVE, PITTSBURGH, PA 15209",226, ,,MARYLAND,AVE,,,PITTSBURGH,PA,15209,34,Shaler Area,838,Millvale  ,2024-09-18,2024-09-16,1.0,19805,103.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.41182,-79.991829,Knoxville
3185212,0048E00137000000,"2009 VERONICA ST, PITTSBURGH, PA 15212",2009, ,,VERONICA,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,124,24th Ward - PITTSBURGH,2024-09-20,2024-09-19,179000.0,19807,236.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.46858,-79.981245,Troy Hill
3185223,0056R00131000000,"5315 GERTRUDE ST, PITTSBURGH, PA 15207",5315, ,,GERTRUDE,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-09-27,2024-09-25,10000.0,19814,524.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.404235,-79.941054,Hazelwood
3185224,0090M00171000000,"4411 ARMORHILL AVE, HOMESTEAD, PA 15120",4411, ,,ARMORHILL,AVE,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-09-26,2024-09-12,148000.0,19810,476.0,0,VALID SALE,DE,DEED,40.39694,-79.91946,New Homestead
3185227,0003P00067000000,"0 BROWNSVILLE RD, PITTSBURGH, PA 15203",0, ,,BROWNSVILLE,RD,,,PITTSBURGH,PA,15203,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-09-27,2024-08-29,1.0,19815,538.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.431361,-79.980502,South Side Flats
3185232,0006M00312240000,"1 TRIMONT LN, UNIT 2400A, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,2400A,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-10-07,2024-09-27,1279000.0,19823,433.0,H,MULTI-PARCEL SALE,GW,GENERAL WARRANTY,40.438325,-80.020091,Duquesne Heights
3185239,0006M00312375000,"1 TRIMONT LN, UNIT 750C, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,750C,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-04-29,2024-04-23,350000.0,19652,457.0,0,VALID SALE,DE,DEED,40.438325,-80.020091,Duquesne Heights
3185243,0138J00365000000,"2425 KINGWOOD ST, PITTSBURGH, PA 15234",2425, ,,KINGWOOD,ST,,,PITTSBURGH,PA,15234,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2024-01-26,2024-01-11,70000.0,19559,553.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.379301,-79.995449,Overbrook
3185247,0049B00287001300,"229 43RD ST, PITTSBURGH, PA 15201",229, ,,43RD,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-01-31,2024-01-31,945000.0,19564,558.0,27,NO ASSESSED VALUATION,DE,DEED,40.470227,-79.959204,Central Lawrenceville
3185253,0016K00135000000,"1112 GLADYS AVE, PITTSBURGH, PA 15216",1112, ,,GLADYS,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-02-15,2024-02-09,148500.0,19576,490.0,0,VALID SALE,DE,DEED,40.41741,-80.02441,Beechview
3185251,0080N00137000000,"116 44TH ST, PITTSBURGH, PA 15201",116, ,,44TH,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-02-15,2024-02-08,175000.0,19576,426.0,1,SHERIFF SALE,SD,SHERIFF DEED,40.47313,-79.962413,Central Lawrenceville
3185257,0040G00272000000,"6 ELMONT ST, PITTSBURGH, PA 15205",6, ,,ELMONT,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-03-12,2024-03-04,217500.0,19600,116.0,0,VALID SALE,DE,DEED,40.438894,-80.056183,Crafton Heights
3185262,0075M00024000000,"3246 RICHARDSON AVE, PITTSBURGH, PA 15212",3246, ,,RICHARDSON,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-03-14,2024-03-04,84900.0,19603,264.0,0,VALID SALE,GW,GENERAL WARRANTY,40.475057,-80.036465,Brighton Heights
3185264,0080G00086000000,"4921 BUTLER ST, PITTSBURGH, PA 15201",4921, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-01-11,2024-01-11,175000.0,19548,102.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.47775,-79.95681,Central Lawrenceville
3185269,0050E00076000000,"4721 KINCAID ST, PITTSBURGH, PA 15224",4721, ,,KINCAID,ST,,,PITTSBURGH,PA,15224,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-01-25,2024-01-14,1.0,19559,211.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.468734,-79.946338,Garfield
3185270,0004M00185000000,"321 BAILEY AVE, PITTSBURGH, PA 15211",321, ,,BAILEY,AVE,,,PITTSBURGH,PA,15211,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-01-29,2024-01-23,789000.0,19561,266.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.427158,-80.001747,Mount Washington
3185271,0083L00254000000,"6102 EAST LIBERTY BLVD, PITTSBURGH, PA 15206",6102, ,,EAST LIBERTY,BLVD,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2024-01-29,2024-01-25,81500.0,19562,13.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.465081,-79.920744,East Liberty
3185278,0045F00022000000,"1213 WOODLAND AVE, PITTSBURGH, PA 15212",1213, ,,WOODLAND,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-08-19,2024-07-15,42000.0,19772,208.0,35,CORPORATION TRANSFER,SW,SPECIAL WARRANTY,40.46933,-80.027816,Marshall-Shadeland
3185279,0091G00077000000,"446 MARINA ST, HOMESTEAD, PA 15120",446, ,,MARINA,ST,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-08-19,2024-08-19,1.0,19773,95.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.39173,-79.92391,New Homestead
3185282,0006M00312010200,"1 TRIMONT LN, UNIT 102P, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,102P,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-08-19,2024-08-01,185000.0,19773,479.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.438325,-80.020091,Duquesne Heights
3185285,0035E00086000000,"1603 CANTON AVE, PITTSBURGH, PA 15216",1603, ,,CANTON,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-08-23,2024-08-16,65000.0,19778,482.0,H,MULTI-PARCEL SALE,DE,DEED,40.410269,-80.029889,Beechview
3185290,0067R00023000000,"3002 DOOLITTLE ST, CARNEGIE, PA 15106",3002, ,,DOOLITTLE,ST,,,CARNEGIE,PA,15106,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-08-21,2024-08-16,175000.0,19776,18.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.415254,-80.074157,East Carnegie
3185291,0049B00205000000,"4502 BUTLER ST, PITTSBURGH, PA 15201",4502, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-08-22,2024-06-28,1.0,19778,96.0,H,MULTI-PARCEL SALE,DE,DEED,40.47211,-79.958899,Central Lawrenceville
3185292,0120G00101000000,"6068 BUTLER ST, PITTSBURGH, PA 15201",6068, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-08-22,2024-06-28,1.0,19778,125.0,H,MULTI-PARCEL SALE,DE,DEED,40.48725,-79.93973,Stanton Heights
3185293,0120K00126000000,"6030 BUTLER ST, PITTSBURGH, PA 15201",6030, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-08-23,2024-08-15,1.0,19779,29.0,H,MULTI-PARCEL SALE,DE,DEED,40.486522,-79.941856,Stanton Heights
3185295,0120K00134000000,"6026 BUTLER ST, PITTSBURGH, PA 15201",6026, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-08-23,2024-08-15,1.0,19779,46.0,H,MULTI-PARCEL SALE,DE,DEED,40.48647,-79.94218,Stanton Heights
3185298,0047M00276000000,"0 FROMAN ST, PITTSBURGH, PA 15212",0, ,,FROMAN,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,124,24th Ward - PITTSBURGH,2024-09-03,2024-08-15,108000.0,19788,7.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.465076,-79.982961,Troy Hill
3185301,0027H00144004500,"166 N DITHRIDGE ST, UNIT 5-D, PITTSBURGH, PA 15213",166, ,N,DITHRIDGE,ST,UNIT,5-D,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-04,2024-08-07,177000.0,19790,286.0,0,VALID SALE,GW,GENERAL WARRANTY,40.448709,-79.951211,North Oakland
3185304,0124K00176000000,"0 MAXWELL WAY, PITTSBURGH, PA 15206",0, ,,MAXWELL,WAY,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-09-09,2024-08-15,3000.0,19794,308.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.464958,-79.911671,Larimer
3185306,0055G00312000000,"532 BIGELOW ST, PITTSBURGH, PA 15207",532, ,,BIGELOW,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-09-12,2024-09-11,299000.0,19798,199.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.41886,-79.938544,Hazelwood
3185316,0025F00247000000,"2835 PENN AVE, PITTSBURGH, PA 15222",2835, ,,PENN,AVE,,,PITTSBURGH,PA,15222,47,Pittsburgh,106,6th Ward - PITTSBURGH,2024-10-17,2024-10-10,342500.0,19834,58.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,40.457698,-79.974897,Strip District
3185322,0088E00060000000,"764 MONTCLAIR ST, PITTSBURGH, PA 15217",764, ,,MONTCLAIR,ST,,,PITTSBURGH,PA,15217,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-10-22,2024-09-11,230000.0,19838,466.0,0,VALID SALE,DE,DEED,40.420778,-79.930892,Greenfield
3185321,0060K00270000000,"1600 MOUNT JOSEPH ST, PITTSBURGH, PA 15210",1600, ,,MOUNT JOSEPH,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-10-18,2024-10-14,207500.0,19836,161.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.39952,-79.99207,Carrick
3185320,0133P00079000000,"4829 LOUGEAN AVE, PITTSBURGH, PA 15207",4829, ,,LOUGEAN,AVE,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-10-16,2024-09-12,62000.0,19833,6.0,99,CORRECTIVE DEED / DUPLICATE SALE,SW,SPECIAL WARRANTY,40.37531,-79.91193,Lincoln Place
3185327,0049L00183000A00,"4224 POST ST, PITTSBURGH, PA 15201",4224, ,,POST,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-10-22,2024-09-20,1.0,19840,7.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.467118,-79.954774,Central Lawrenceville
3185326,0050K00131000000,"5127 BROAD ST, PITTSBURGH, PA 15224",5127, ,,BROAD,ST,,,PITTSBURGH,PA,15224,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-10-25,2024-10-07,1.0,19843,118.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.4665,-79.941375,Garfield
3185334,0044D00080000000,"3108 MCCLURE AVE, PITTSBURGH, PA 15212",3108, ,,MCCLURE,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-11-01,2024-10-11,435000.0,19850,408.0,H,MULTI-PARCEL SALE,DE,DEED,40.47198,-80.03693,Marshall-Shadeland
3185338,0048J00100000000,"1701 RIALTO ST, PITTSBURGH, PA 15212",1701, ,,RIALTO,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,124,24th Ward - PITTSBURGH,2024-11-06,2024-10-28,1.0,19853,470.0,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,40.46589,-79.98199,Troy Hill
3185342,0086R00054050300,"5715 BEACON ST, UNIT 503, PITTSBURGH, PA 15217",5715, ,,BEACON,ST,UNIT,503,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-02-15,2024-01-25,155000.0,19577,328.0,BK,BANK/FINANCIAL INSTITUTION,DE,DEED,40.4349,-79.924063,Squirrel Hill South
3185344,0125G00146000000,"830 INWOOD ST, PITTSBURGH, PA 15208",830, ,,INWOOD,ST,,,PITTSBURGH,PA,15208,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-03-20,2024-03-18,1.0,19610,85.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.45959,-79.90446,Homewood West
3185346,0091D00124000000,"5021 REVENUE ST, HOMESTEAD, PA 15120",5021, ,,REVENUE,ST,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-03-27,2024-03-01,52500.0,19617,565.0,H,MULTI-PARCEL SALE,FD,FIDUCIARY DEED,40.39388,-79.91815,New Homestead
3185347,0015H00291000000,"244 E WARRINGTON AVE, PITTSBURGH, PA 15210",244, ,E,WARRINGTON,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-03-25,2024-02-08,1.0,19614,95.0,GV,GOVERNMENT SALE,QC,QUIT CLAIM,40.42083,-80.00295,Beltzhoover
3185348,0014B00116000000,"745 E WARRINGTON AVE, PITTSBURGH, PA 15210",745, ,E,WARRINGTON,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-03-28,2024-03-21,80000.0,19619,138.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.422058,-79.994191,Allentown
3185359,0020S00297000000,"1 LANDER ST, PITTSBURGH, PA 15220",1, ,,LANDER,ST,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-01-30,2024-01-29,245000.0,19563,305.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.443706,-80.033047,Elliott
3185366,0070C00043000000,"0 CLEARFIELD ST, PITTSBURGH, PA 15204",0, ,,CLEARFIELD,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-02-16,2024-02-15,30000.0,19578,23.0,H,MULTI-PARCEL SALE,DE,DEED,40.452738,-80.072822,Windgap
3185369,0174G00279000000,"1226 PINERIDGE ST, PITTSBURGH, PA 15208",1226, ,,PINERIDGE,ST,,,PITTSBURGH,PA,15208,47,Pittsburgh,113,13th Ward - PITTSBURGH,2024-02-20,2024-02-16,0.0,19579,176.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.45971,-79.889386,Homewood North
3185370,0015A00246000000,"549 SOUTHERN AVE, PITTSBURGH, PA 15211",549, ,,SOUTHERN,AVE,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-02-20,2024-02-12,378000.0,19579,200.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.42243,-80.01206,Mount Washington
3185378,0006L00147000000,"303 AUGUSTA ST, PITTSBURGH, PA 15211",303, ,,AUGUSTA,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-02-23,2024-02-14,260000.0,19582,437.0,0,VALID SALE,DE,DEED,40.43735,-80.022705,Duquesne Heights
3185379,0126J00301000000,"6712 WILKINS AVE, PITTSBURGH, PA 15217",6712, ,,WILKINS,AVE,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-02-22,2024-02-07,1.0,19581,561.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.44634,-79.913241,Squirrel Hill North
3185382,0139D00080000000,"0 BERNARD ST, PITTSBURGH, PA 15234",0, ,,BERNARD,ST,,,PITTSBURGH,PA,15234,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2024-03-08,2024-03-01,1.0,19596,80.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.384616,-80.003601,Overbrook
3185396,0082R00021000000,"933 MELLON ST, PITTSBURGH, PA 15206",933, ,,MELLON,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2024-09-12,2024-09-04,750000.0,19798,543.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.473352,-79.923848,Highland Park
3185405,0071F00263000000,"3820 CHARTIERS AVE, PITTSBURGH, PA 15204",3820, ,,CHARTIERS,AVE,,,PITTSBURGH,PA,15204,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-09-13,2024-09-11,150000.0,19801,215.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.458565,-80.075977,Windgap
3185403,0120G00075000000,"6130 BUTLER ST, PITTSBURGH, PA 15201",6130, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-09-17,2024-08-22,840000.0,19803,280.0,H,MULTI-PARCEL SALE,DE,DEED,40.487925,-79.93798,Stanton Heights
3185404,0120G00090000000,"0 BUTLER ST, PITTSBURGH, PA 15201",0, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-09-17,2024-08-22,840000.0,19803,280.0,H,MULTI-PARCEL SALE,DE,DEED,40.485964,-79.944042,Stanton Heights
3185408,0020R00112000000,"816 CHARTIERS AVE, PITTSBURGH, PA 15220",816, ,,CHARTIERS,AVE,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-09-17,2024-09-09,135000.0,19803,498.0,0,VALID SALE,DE,DEED,40.443099,-80.03946,Elliott
3185422,0094N00261000000,"113 BELPLAIN ST, PITTSBURGH, PA 15227",113, ,,BELPLAIN,ST,,,PITTSBURGH,PA,15227,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-11-13,2024-11-12,117400.0,19861,202.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.38518,-79.9811,Carrick
